Author,Title,Barcode, Collection/Wishlist
Herman Melville,Moby Dick,9.79E+12,Collection
Toni Morrison,Beloved,9.78E+12,Collection
Aldous Huxley,Brave New World,9.78E+12,Collection
Fyodor Dostoevsky,Crime and Punishment,9.78E+12,Collection
Miguel de Cervantes,Don Quixote,9.78E+12,Collection
Bram Stoker,Dracula,9.78E+12,Collection
Mary Shelley,Frankenstein,9.78E+12,Collection
Margaret Mitchell,Gone with the Wind,9.78E+12,Collection
Charles Dickens,Great Expectations,9.78E+12,Collection
J.K. Rowling,Harry Potter and the Sorcerer's Stone,9.78E+12,Collection
Charlotte Bront�,Jane Eyre,9.78E+12,Collection
Victor Hugo,Les Mis�rables,9.78E+12,Collection
Louisa May Alcott,Little Women,9.78E+12,Collection
Vladimir Nabokov,Lolita,9.78E+12,Collection